Chick.code.1,Parent.code,Date,SexParentSel,SexParentMol,SexChickSel,SexChickMol,ChickAge,Location,Latitude,Longitude,RingLocation,RingLatitude,RingLongitude,rnd
B[J0]/B[J0]a,W/OR,01/06/2000,m,u,f,f,41,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.14524
B[J8]/aW[J8],aB[H]/OG,21/06/2006,f,u,m,m,38,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.767876
B[KK]/W[KK],B[K7]a/R[K7],13/07/2006,m,u,f,f,50,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.709149
B[N2]/B[N2]a,RW/aO,01/06/2000,NA,NA,f,f,42,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.631608
B[S4]/aW[S4],O[GG]/aO[GG],27/06/2006,u,u,m,m,47,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.45088
B[X0]/B[X0]a,W/OR,01/06/2000,m,u,f,f,40,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.741561
BaR/YfRG,R[PR]/aY[PR],05/06/2007,m,u,m,m,39,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.67749
BaR/YfRG,R[PR]/aY[PR],06/06/2007,m,u,m,m,40,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.578699
BGB/YaYf,aW[EZ]/W[EZ],06/06/2007,f,u,m,m,35,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.661829
GNfN/aRP,aBL/BYfR,30/08/2018,m,m,f,f,114,"Groninger Kust, Hornhuizen wadrand HVP",53.2441,6.2016,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.955113
GNfP/aGP,RaYf/GLR,22/08/2017,m,m,f,f,107,"Groninger Kust, Hornhuizen wadrand HVP",53.2441,6.2016,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.621774
GNNf/aNY,YfYG/aGY,30/08/2018,m,m,u,u,99,"Groninger Kust, Hornhuizen wadrand HVP",53.2441,6.2016,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.634375
GW[68]/aB[68],B[6]/O[7]a,26/06/2006,m,u,f,f,56,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.055518
GYfG/BaL,aG[DN]/G[DN],13/06/2007,f,u,m,m,37,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.826108
LaY/BYfL,B[J]/O[N]a,05/06/2007,m,u,f,f,44,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.6286
LaYf/LYL,aG[L6]/G[L6],25/08/2007,NA,NA,f,f,125,"Lauwersmeer, Achter de Zwarten",53.4,6.21667,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.509389
LYfa/BRY,aG[J2]/G[J2],06/06/2007,m,u,f,f,41,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.582498
NfNY/aRN,B[TU]/aB[TU],25/06/2016,m,u,u,u,53,"Krammer-Volkerak, Slaakeiland",51.6509,4.1876,"Krammer-Volkerak, Slaakeiland",51.6509,4.1876,0.108087
NGNf/aGP,,21/08/2018,NA,NA,u,u,94,"Lauwersmeer, Achter de Zwarten",53.4,6.21667,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.797021
NGNf/aGP,YfLa/YGY,21/08/2018,m,m,u,u,94,"Lauwersmeer, Achter de Zwarten",53.4,6.21667,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.159756
OW[23]/aB[23],R[AN]/aY[AN],24/06/2006,f,u,m,m,36,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.84926
OW[73]/aB[73],aG[DU]/G[DU],08/06/2006,f,u,m,m,36,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.744641
OW[73]/aB[73],aG[DU]/G[DU],10/06/2006,f,u,m,m,38,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.377126
OW[73]/aB[73],aG[DU]/G[DU],12/06/2006,f,u,m,m,40,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.77244
PGNf/aPY,,21/08/2018,NA,NA,m,m,73,"Lauwersmeer, Achter de Zwarten",53.4,6.21667,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.032601
RaL/YfLB,W[Y4]a/W[Y4],17/06/2007,m,u,f,f,50,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.628277
RaL/YfLB,W[Y4]a/W[Y4],18/06/2007,m,u,f,f,51,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.405517
RaY/GRYf,W[SY]/aB[SY],17/06/2007,m,u,m,m,51,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.830338
RaY/GRYf,W[SY]/aB[SY],06/06/2007,m,u,m,m,40,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.86427
RaYf/GLR,R[BC]/aY[BC],06/06/2007,m,u,m,m,42,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.995925
RaYf/GLR,R[BC]/aY[BC],22/06/2007,m,u,m,m,58,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.14163
RGNf/aGN,,15/07/2018,NA,NA,f,f,58,"Texel, Zeeburg",53.15,4.88333,"Texel, de Schorren",53.13333,4.9,0.737776
RLYf/aBL,aG[CR]/G[CR],19/06/2007,m,u,m,m,36,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.252579
RNfG/aPP,BaL/YfRB,08/08/2017,f,f,f,f,94,"Groninger Kust, Hornhuizen wadrand HVP",53.2441,6.2016,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.612627
RYfa/LGL,B[L6]a/R[L6],05/06/2007,m,u,m,m,36,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.545393
RYfa/LGL,aB/RO,18/06/2007,f,u,m,m,49,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.242858
RYfa/LGL,aB/RO,06/06/2007,f,u,m,m,37,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.51277
W[10]/B[10],aB[CS]/B[CS],21/06/2006,m,u,f,f,36,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.158409
W[10]/B[10],aB[CS]/B[CS],27/06/2006,m,u,f,f,42,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.37562
W[18]/aB[18],G[P3]/G[P3]a,30/06/2006,m,u,f,f,46,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.612284
W[25]/aB[25],Y[4]/WR,26/06/2006,m,m,f,f,44,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.055959
W[32]/aB[32],aG[A]/OW,10/06/2006,f,u,f,f,36,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.244221
W[32]/aB[32],aG[J2]/G[J2],14/06/2006,m,u,f,f,40,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.186485
W[32]/aB[32],aG[A]/OW,14/06/2006,f,u,f,f,40,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.375421
W[32]/aB[32],aG[A]/OW,12/06/2006,f,u,f,f,38,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.234743
W[32]/aB[32],aG[A]/OW,26/06/2006,f,u,f,f,52,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.067428
W[47]/aB[47],aY[B]/GO,14/06/2006,m,u,f,f,42,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.474968
W[51]/aB[51],aG[X3]/G[X3],29/06/2006,m,u,f,f,35,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.241492
W[51]/aB[51],aG[X3]/G[X3],13/07/2006,m,u,f,f,49,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.676442
